Date & time of file creation	7/12/2019 12:44																																													
Raw data file path	C:\Users\yaa23\Desktop\Resp\20190712_PredatorExp_smr_None_raw.txt																																													
Data file path	C:\Users\yaa23\Desktop\Resp\20190712_PredatorExp_smr_None.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	49.8162	28.5800	0.00	100.00	17.19	17.79																																							
Chamber 2	1	52.0787	29.1650	0.00	100.00	17.19	17.79																																							
Chamber 3	1	55.4062	28.5825	0.00	100.00	17.18	17.79																																							
Chamber 4	1	53.3363	29.2625	0.00	100.00	17.19	17.79																																							
																																														
Chamber 6	1	44.3075	28.7512	0.00	100.00	16.88	17.75																																							
Chamber 7	1	45.0000	28.5712	0.00	100.00	17.46	17.75																																							
Chamber 8	1	48.5650	28.6525	0.00	100.00	16.89	17.75																																							
																																														
																																														
Ambient temp N°1	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	16.128	1.01100000000000	0.2996	1	10	Not used	Not used	Not used																																						
Chamber 2	16.128	0.812	0.3131	1	Not used	Not used	Not used	Not used																																						
Chamber 3	16.128	1.091	0.279500	1	Not used	Not used	Not used	Not used																																						
Chamber 4	16.128	1.076	0.2267	1	Not used	Not used	Not used	Not used																																						
																																														
Chamber 6	16.128	0.768	0.1981	1	Not used	Not used	Not used	Not used																																						
Chamber 7	16.128	0.818	0.3394	1	Not used	Not used	Not used	Not used																																						
Chamber 8	16.128	0.949	0.2313	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [V]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
7/12/2019/12:44:30	Flush	1006.1	0.0	28.7900	18.49	95.72	29.0400	18.49	99.13	28.6425	18.49	97.84	29.4825	18.49	96.08	NaN	18.40	NaN	28.5850	18.40	98.59	28.8175	18.40	94.41	28.6512	18.40	97.69	NaN	NaN	NaN	NaN	18.4900	18.49	OFF	18.4000	18.40	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/12:44:31	Flush	1006.1	0.0	28.7825	18.49	95.79	29.0550	18.49	98.98	28.6175	18.49	98.07	29.4875	18.49	96.04	NaN	18.40	NaN	28.5812	18.40	98.63	28.8200	18.40	94.39	28.6588	18.40	97.62	NaN	NaN	NaN	NaN	18.4900	18.49	OFF	18.3912	18.39	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/12:44:32	Flush	1006.1	0.0	28.7950	18.49	95.67	29.0525	18.49	99.01	28.6475	18.49	97.79	29.4900	18.49	96.01	NaN	18.39	NaN	28.5888	18.39	98.59	28.8463	18.39	94.16	28.6512	18.39	97.72	NaN	NaN	NaN	NaN	18.4900	18.49	OFF	18.3900	18.39	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/12:44:33	Flush	1006.1	0.0	28.7850	18.49	95.77	29.0500	18.49	99.03	28.6375	18.49	97.88	29.4825	18.49	96.08	NaN	18.39	NaN	28.5725	18.39	98.78	28.8325	18.39	94.30	28.6588	18.39	97.65	NaN	NaN	NaN	NaN	18.4900	18.49	OFF	18.3900	18.39	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/12:44:34	F1   	1006.1	0.0	28.7800	18.49	95.81	29.0350	18.49	99.17	28.6525	18.49	97.75	29.4950	18.49	95.97	NaN	18.39	NaN	28.5787	18.39	98.71	28.8125	18.39	94.51	28.6775	18.39	97.47	NaN	NaN	NaN	NaN	18.4900	18.49	OFF	18.3900	18.39	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/12:44:35	F1   	1006.1	0.0	28.7725	18.49	95.88	29.0450	18.49	99.08	28.6375	18.49	97.88	29.4925	18.49	95.99	NaN	18.39	NaN	28.5888	18.39	98.60	28.8188	18.39	94.45	28.6625	18.39	97.62	NaN	NaN	NaN	NaN	18.4900	18.49	OFF	18.3900	18.39	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/12:44:36	F1   	1006.1	0.0	28.7775	18.49	95.84	29.0575	18.49	98.96	28.6300	18.49	97.95	29.4900	18.49	96.01	NaN	18.39	NaN	28.6075	18.39	98.39	28.8287	18.39	94.34	28.6600	18.39	97.64	NaN	NaN	NaN	NaN	18.4900	18.49	OFF	18.3900	18.39	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/12:44:37	F1   	1006.1	0.0	28.7875	18.49	95.74	29.0450	18.49	99.08	28.6375	18.49	97.88	29.4750	18.49	96.15	NaN	18.39	NaN	28.6013	18.39	98.46	28.8562	18.39	94.06	28.6775	18.39	97.47	NaN	NaN	NaN	NaN	18.4900	18.49	OFF	18.3900	18.39	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/12:44:38	F1   	1006.1	0.0	28.7825	18.49	95.79	29.0400	18.49	99.13	28.6250	18.49	98.00	29.4775	18.49	96.13	NaN	18.39	NaN	28.5825	18.39	98.66	28.8250	18.39	94.38	28.6888	18.39	97.36	NaN	NaN	NaN	NaN	18.4900	18.49	OFF	18.3900	18.39	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/12:44:39	F1   	1006.1	0.0	28.7875	18.49	95.74	29.0475	18.49	99.05	28.6575	18.49	97.70	29.4800	18.49	96.10	NaN	18.39	NaN	28.5888	18.39	98.60	28.8200	18.39	94.43	28.6725	18.39	97.52	NaN	NaN	NaN	NaN	18.4900	18.49	OFF	18.3900	18.39	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/12:44:40	F1   	1006.1	0.0	28.7825	18.49	95.79	29.0500	18.49	99.03	28.6550	18.49	97.72	29.4950	18.49	95.97	NaN	18.39	NaN	28.6163	18.39	98.29	28.8112	18.39	94.52	28.6612	18.39	97.63	NaN	NaN	NaN	NaN	18.4825	18.48	OFF	18.3900	18.39	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/12:44:41	F1   	1006.1	0.0	28.7875	18.48	95.77	29.0350	18.48	99.20	28.6500	18.48	97.79	29.4925	18.48	96.01	NaN	18.39	NaN	28.6200	18.39	98.25	28.8012	18.39	94.63	28.6600	18.39	97.64	NaN	NaN	NaN	NaN	18.4800	18.48	OFF	18.3812	18.38	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/12:44:42	F1   	1006.1	0.0	28.7900	18.48	95.75	29.0450	18.48	99.11	28.6575	18.48	97.72	29.4675	18.48	96.24	NaN	18.38	NaN	28.5675	18.38	98.87	28.8087	18.38	94.59	28.6600	18.38	97.67	NaN	NaN	NaN	NaN	18.4800	18.48	OFF	18.3800	18.38	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/12:44:43	F1   	1006.1	0.0	28.7825	18.48	95.82	29.0275	18.48	99.27	28.6525	18.48	97.77	29.4825	18.48	96.11	NaN	18.38	NaN	28.5950	18.38	98.58	28.8100	18.38	94.58	28.6600	18.38	97.68	NaN	NaN	NaN	NaN	18.4875	18.49	OFF	18.3800	18.38	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/12:44:44	F1   	1006.1	0.0	28.7725	18.49	95.89	29.0350	18.49	99.18	28.6425	18.49	97.84	29.4900	18.49	96.02	NaN	18.38	NaN	28.5738	18.38	98.81	28.7925	18.38	94.76	28.6600	18.38	97.68	NaN	NaN	NaN	NaN	18.4825	18.48	OFF	18.3800	18.38	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
