Date & time of file creation	7/17/2019 09:14																																													
Raw data file path	C:\Users\yaa23\Desktop\Resp\20190717_PredatorExp_Acc_raw.txt																																													
Data file path	C:\Users\yaa23\Desktop\Resp\20190717_PredatorExp_Acc.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	49.8162	28.8175	0.00	100.00	17.19	17.40																																							
Chamber 2	1	52.0787	29.3562	0.00	100.00	17.19	17.40																																							
Chamber 3	1	55.4062	28.7425	0.00	100.00	17.18	17.40																																							
Chamber 4	1	53.3363	29.4662	0.00	100.00	17.19	17.40																																							
																																														
Chamber 6	1	44.3075	28.7325	0.00	100.00	16.88	17.36																																							
Chamber 7	1	45.0000	28.7338	0.00	100.00	17.46	17.36																																							
Chamber 8	1	48.5650	28.7688	0.00	100.00	16.89	17.37																																							
																																														
																																														
Ambient temp N°1	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	16.128	1.01100000000000	0.285	1	10	Not used	Not used	Not used																																						
Chamber 2	16.128	0.812	0.202	1	Not used	Not used	Not used	Not used																																						
Chamber 3	16.128	1.091	0.287	1	Not used	Not used	Not used	Not used																																						
Chamber 4	16.128	1.076	0.282	1	Not used	Not used	Not used	Not used																																						
																																														
Chamber 6	16.128	0.768	0.288	1	Not used	Not used	Not used	Not used																																						
Chamber 7	16.128	0.818	0.291	1	Not used	Not used	Not used	Not used																																						
Chamber 8	16.128	0.949	0.178	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [V]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
7/17/2019/09:14:22	Flush	1014.9	0.0	28.5512	17.90	100.96	29.0712	17.90	101.23	28.5587	17.90	100.54	29.1975	17.90	101.14	NaN	17.91	NaN	28.5587	17.91	99.19	28.5375	17.91	99.57	28.5200	17.91	100.55	NaN	NaN	NaN	NaN	17.8912	17.89	OFF	17.9000	17.90	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:23	Flush	1014.9	0.0	28.5587	17.89	100.92	29.0612	17.89	101.35	28.5338	17.89	100.80	29.2000	17.89	101.14	NaN	17.90	NaN	28.5400	17.90	99.43	28.5375	17.90	99.60	28.5200	17.90	100.58	NaN	NaN	NaN	NaN	17.8900	17.89	OFF	17.9000	17.90	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:24	Flush	1014.9	0.0	28.5600	17.89	100.91	29.0688	17.89	101.28	28.5212	17.89	100.92	29.1913	17.89	101.22	NaN	17.90	NaN	28.5450	17.90	99.38	28.5100	17.90	99.91	28.5200	17.90	100.58	NaN	NaN	NaN	NaN	17.8900	17.89	OFF	17.9000	17.90	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:25	Flush	1014.9	0.0	28.5512	17.89	100.99	29.0525	17.89	101.44	28.5288	17.89	100.85	29.1988	17.89	101.15	NaN	17.90	NaN	28.5562	17.90	99.25	28.5362	17.90	99.62	28.5125	17.90	100.66	NaN	NaN	NaN	NaN	17.8900	17.89	OFF	17.9000	17.90	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:26	Flush	1014.9	0.0	28.5500	17.89	101.01	29.0675	17.89	101.29	28.5562	17.89	100.59	29.2088	17.89	101.06	NaN	17.90	NaN	28.5650	17.90	99.16	28.5325	17.90	99.66	28.5000	17.90	100.78	NaN	NaN	NaN	NaN	17.8900	17.89	OFF	17.9000	17.90	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:27	Flush	1014.9	0.0	28.5587	17.89	100.92	29.0525	17.89	101.44	28.5512	17.89	100.64	29.2012	17.89	101.13	NaN	17.90	NaN	28.6025	17.90	98.74	28.5500	17.90	99.47	28.5025	17.90	100.76	NaN	NaN	NaN	NaN	17.8900	17.89	OFF	17.9025	17.90	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:28	Flush	1014.9	0.0	28.5600	17.89	100.91	29.0500	17.89	101.46	28.5675	17.89	100.48	29.2000	17.89	101.14	NaN	17.90	NaN	28.5800	17.90	98.98	28.5613	17.90	99.33	28.5138	17.90	100.64	NaN	NaN	NaN	NaN	17.8900	17.89	OFF	17.9100	17.91	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:29	Flush	1014.9	0.0	28.5512	17.89	100.99	29.0500	17.89	101.46	28.5612	17.89	100.54	29.1913	17.89	101.22	NaN	17.91	NaN	28.5725	17.91	99.02	28.5275	17.91	99.67	28.5225	17.91	100.52	NaN	NaN	NaN	NaN	17.8900	17.89	OFF	17.9075	17.91	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:30	Flush	1014.9	0.0	28.5587	17.89	100.92	29.0587	17.89	101.38	28.5425	17.89	100.72	29.1812	17.89	101.32	NaN	17.91	NaN	28.5450	17.91	99.34	28.5250	17.91	99.71	28.5325	17.91	100.43	NaN	NaN	NaN	NaN	17.8900	17.89	OFF	17.9000	17.90	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:31	Flush	1014.9	0.0	28.5512	17.89	100.99	29.0600	17.89	101.37	28.5400	17.89	100.74	29.1888	17.89	101.25	NaN	17.90	NaN	28.5450	17.90	99.38	28.5425	17.90	99.55	28.5300	17.90	100.48	NaN	NaN	NaN	NaN	17.8987	17.90	OFF	17.9000	17.90	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:32	Flush	1014.9	0.0	28.5412	17.90	101.06	29.0425	17.90	101.51	28.5488	17.90	100.64	29.1900	17.90	101.21	NaN	17.90	NaN	28.5825	17.90	98.96	28.5463	17.90	99.51	28.5150	17.90	100.63	NaN	NaN	NaN	NaN	17.9000	17.90	OFF	17.9000	17.90	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:33	Flush	1014.9	0.0	28.5488	17.90	100.99	29.0663	17.90	101.27	28.5587	17.90	100.54	29.1900	17.90	101.21	NaN	17.90	NaN	28.5625	17.90	99.18	28.5350	17.90	99.63	28.5325	17.90	100.45	NaN	NaN	NaN	NaN	17.9000	17.90	OFF	17.9000	17.90	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:34	Flush	1014.9	0.0	28.5587	17.90	100.89	29.0612	17.90	101.32	28.5512	17.90	100.61	29.1988	17.90	101.12	NaN	17.90	NaN	28.5325	17.90	99.52	28.5237	17.90	99.75	28.5063	17.90	100.72	NaN	NaN	NaN	NaN	17.9000	17.90	OFF	17.9000	17.90	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:35	Flush	1014.9	0.0	28.5500	17.90	100.97	29.0700	17.90	101.24	28.5300	17.90	100.81	29.2100	17.90	101.02	NaN	17.90	NaN	28.5250	17.90	99.60	28.5300	17.90	99.69	28.5100	17.90	100.68	NaN	NaN	NaN	NaN	17.8900	17.89	OFF	17.9000	17.90	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:36	Flush	1014.9	0.0	28.5675	17.89	100.83	29.0612	17.89	101.35	28.5475	17.89	100.67	29.1925	17.89	101.21	NaN	17.90	NaN	28.5587	17.90	99.23	28.5375	17.90	99.60	28.5250	17.90	100.53	NaN	NaN	NaN	NaN	17.8900	17.89	OFF	17.9000	17.90	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:37	Flush	1014.9	0.0	28.5700	17.89	100.81	29.0688	17.89	101.28	28.5325	17.89	100.81	29.1900	17.89	101.24	NaN	17.90	NaN	28.5800	17.90	98.99	28.5450	17.90	99.52	28.5100	17.90	100.68	NaN	NaN	NaN	NaN	17.8987	17.90	OFF	17.9000	17.90	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:38	Flush	1014.9	0.0	28.5787	17.90	100.69	29.0437	17.90	101.50	28.5388	17.90	100.73	29.1988	17.90	101.13	NaN	17.90	NaN	28.5575	17.90	99.24	28.5338	17.90	99.65	28.5212	17.90	100.57	NaN	NaN	NaN	NaN	17.9000	17.90	OFF	17.9037	17.90	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:39	Flush	1014.9	0.0	28.5500	17.90	100.97	29.0400	17.90	101.53	28.5600	17.90	100.53	29.2000	17.90	101.11	NaN	17.90	NaN	28.5650	17.90	99.14	28.5375	17.90	99.59	28.4975	17.90	100.80	NaN	NaN	NaN	NaN	17.8900	17.89	OFF	17.9100	17.91	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:40	Flush	1014.9	0.0	28.5500	17.89	101.01	29.0488	17.89	101.47	28.5600	17.89	100.55	29.1913	17.89	101.22	NaN	17.91	NaN	28.5688	17.91	99.06	28.5263	17.91	99.68	28.5200	17.91	100.55	NaN	NaN	NaN	NaN	17.8987	17.90	OFF	17.9100	17.91	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/17/2019/09:14:41	Flush	1014.9	0.0	28.5600	17.90	100.88	29.0700	17.90	101.24	28.5500	17.90	100.63	29.2000	17.90	101.12	NaN	17.91	NaN	28.6000	17.91	98.72	28.5250	17.91	99.69	28.5250	17.91	100.49	NaN	NaN	NaN	NaN	17.8900	17.89	OFF	17.9100	17.91	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
