Date & time of file creation	7/18/2019 08:04																																													
Raw data file path	C:\Users\yaa23\Desktop\Resp\20190718_PredatorExp_blankPre_raw.txt																																													
Data file path	C:\Users\yaa23\Desktop\Resp\20190718_PredatorExp_blankPre.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	49.8162	28.6250	0.00	100.00	17.19	17.96																																							
Chamber 2	1	52.0787	29.0750	0.00	100.00	17.19	17.96																																							
Chamber 3	1	55.4062	28.5750	0.00	100.00	17.18	17.96																																							
Chamber 4	1	53.3363	29.2450	0.00	100.00	17.19	17.96																																							
																																														
Chamber 6	1	44.3075	28.6100	0.00	100.00	16.88	17.94																																							
Chamber 7	1	45.0000	28.5725	0.00	100.00	17.46	17.94																																							
Chamber 8	1	48.5650	28.6062	0.00	100.00	16.89	17.94																																							
																																														
																																														
Ambient temp N°1	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	16.128	1.01100000000000	0	1	10	Not used	Not used	Not used																																						
Chamber 2	16.128	0.812	0	1	Not used	Not used	Not used	Not used																																						
Chamber 3	16.128	1.091	0	1	Not used	Not used	Not used	Not used																																						
Chamber 4	16.128	1.076	0	1	Not used	Not used	Not used	Not used																																						
																																														
Chamber 6	16.128	0.768	0	1	Not used	Not used	Not used	Not used																																						
Chamber 7	16.128	0.818	0	1	Not used	Not used	Not used	Not used																																						
Chamber 8	16.128	0.949	0	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [V]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
7/18/2019/08:04:37	Flush	1014.9	0.0	28.6250	17.96	100.00	29.0800	17.96	99.95	28.5700	17.96	100.05	29.2650	17.96	99.81	NaN	17.94	NaN	28.5825	17.94	100.31	28.5725	17.94	100.00	28.5988	17.94	100.08	NaN	NaN	NaN	NaN	17.9650	17.96	OFF	17.9400	17.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:38	Flush	1014.9	0.0	28.6350	17.96	99.88	29.0650	17.96	100.08	28.5700	17.96	100.04	29.2550	17.96	99.89	NaN	17.94	NaN	28.5975	17.94	100.14	28.5875	17.94	99.84	28.5912	17.94	100.15	NaN	NaN	NaN	NaN	17.9650	17.96	OFF	17.9400	17.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:39	Flush	1014.9	0.0	28.6300	17.96	99.93	29.0600	17.96	100.13	28.5700	17.96	100.04	29.2600	17.96	99.85	NaN	17.94	NaN	28.5825	17.94	100.31	28.5900	17.94	99.81	28.5812	17.94	100.25	NaN	NaN	NaN	NaN	17.9600	17.96	OFF	17.9488	17.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:40	Flush	1014.9	0.0	28.6150	17.96	100.10	29.0800	17.96	99.95	28.5800	17.96	99.95	29.2600	17.96	99.86	NaN	17.95	NaN	28.6150	17.95	99.90	28.5812	17.95	99.86	28.5712	17.95	100.32	NaN	NaN	NaN	NaN	17.9600	17.96	OFF	17.9500	17.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:41	Flush	1014.9	0.0	28.6200	17.96	100.05	29.0850	17.96	99.90	28.5850	17.96	99.91	29.2550	17.96	99.91	NaN	17.95	NaN	28.6112	17.95	99.94	28.5712	17.95	99.97	28.6050	17.95	99.98	NaN	NaN	NaN	NaN	17.9600	17.96	OFF	17.9500	17.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:42	F1   	1014.9	0.0	28.6400	17.96	99.85	29.0650	17.96	100.10	28.5750	17.96	100.00	29.2550	17.96	99.91	NaN	17.95	NaN	28.6100	17.95	99.95	28.5612	17.95	100.08	28.5837	17.95	100.19	NaN	NaN	NaN	NaN	17.9650	17.96	OFF	17.9500	17.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:43	F1   	1014.9	0.0	28.6350	17.96	99.88	29.0650	17.96	100.08	28.5750	17.96	99.99	29.2600	17.96	99.85	NaN	17.95	NaN	28.6100	17.95	99.95	28.5862	17.95	99.80	28.5888	17.95	100.14	NaN	NaN	NaN	NaN	17.9700	17.97	OFF	17.9500	17.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:44	F1   	1014.9	0.0	28.6300	17.97	99.92	29.0800	17.97	99.92	28.5800	17.97	99.93	29.2650	17.97	99.78	NaN	17.95	NaN	28.6100	17.95	99.95	28.5725	17.95	99.95	28.5900	17.95	100.13	NaN	NaN	NaN	NaN	17.9700	17.97	OFF	17.9500	17.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:45	F1   	1014.9	0.0	28.6400	17.97	99.82	29.0800	17.97	99.92	28.5800	17.97	99.93	29.2650	17.97	99.78	NaN	17.95	NaN	28.6100	17.95	99.95	28.5700	17.95	99.98	28.5812	17.95	100.22	NaN	NaN	NaN	NaN	17.9700	17.97	OFF	17.9413	17.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:46	F1   	1014.9	0.0	28.6300	17.97	99.92	29.0800	17.97	99.92	28.5950	17.97	99.79	29.2550	17.97	99.88	NaN	17.94	NaN	28.5925	17.94	100.19	28.5875	17.94	99.83	28.5975	17.94	100.08	NaN	NaN	NaN	NaN	17.9700	17.97	OFF	17.9488	17.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:47	F1   	1014.9	0.0	28.6200	17.97	100.02	29.0850	17.97	99.87	28.5800	17.97	99.93	29.2550	17.97	99.88	NaN	17.95	NaN	28.6075	17.95	99.98	28.5725	17.95	99.96	28.5912	17.95	100.12	NaN	NaN	NaN	NaN	17.9650	17.96	OFF	17.9413	17.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:48	F1   	1014.9	0.0	28.6250	17.96	99.98	29.0800	17.96	99.94	28.5800	17.96	99.94	29.2550	17.96	99.89	NaN	17.94	NaN	28.5925	17.94	100.19	28.5700	17.94	100.02	28.6075	17.94	99.98	NaN	NaN	NaN	NaN	17.9600	17.96	OFF	17.9400	17.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:49	F1   	1014.9	0.0	28.6300	17.96	99.95	29.0750	17.96	100.00	28.5950	17.96	99.81	29.2600	17.96	99.86	NaN	17.94	NaN	28.5900	17.94	100.22	28.5787	17.94	99.93	28.5750	17.94	100.32	NaN	NaN	NaN	NaN	17.9600	17.96	OFF	17.9400	17.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:50	F1   	1014.9	0.0	28.6250	17.96	100.00	29.0750	17.96	100.00	28.5900	17.96	99.86	29.2650	17.96	99.81	NaN	17.94	NaN	28.6163	17.94	99.93	28.5712	17.94	100.01	28.5963	17.94	100.10	NaN	NaN	NaN	NaN	17.9600	17.96	OFF	17.9400	17.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:51	F1   	1014.9	0.0	28.6150	17.96	100.10	29.0550	17.96	100.19	28.5750	17.96	100.00	29.2550	17.96	99.91	NaN	17.94	NaN	28.5937	17.94	100.18	28.5875	17.94	99.84	28.6175	17.94	99.89	NaN	NaN	NaN	NaN	17.9600	17.96	OFF	17.9400	17.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:52	F1   	1014.9	0.0	28.6300	17.96	99.95	29.0500	17.96	100.24	28.5650	17.96	100.09	29.2500	17.96	99.95	NaN	17.94	NaN	28.5637	17.94	100.52	28.5725	17.94	100.00	28.5937	17.94	100.13	NaN	NaN	NaN	NaN	17.9600	17.96	OFF	17.9400	17.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:53	F1   	1014.9	0.0	28.6400	17.96	99.85	29.0550	17.96	100.19	28.5700	17.96	100.05	29.2600	17.96	99.86	NaN	17.94	NaN	28.6212	17.94	99.87	28.5787	17.94	99.93	28.6075	17.94	99.99	NaN	NaN	NaN	NaN	17.9650	17.96	OFF	17.9400	17.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:54	F1   	1014.9	0.0	28.6300	17.96	99.93	29.0650	17.96	100.08	28.5700	17.96	100.04	29.2750	17.96	99.70	NaN	17.94	NaN	28.6038	17.94	100.07	28.5625	17.94	100.11	28.6100	17.94	99.96	NaN	NaN	NaN	NaN	17.9700	17.97	OFF	17.9400	17.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:55	F1   	1014.9	0.0	28.6250	17.97	99.97	29.0750	17.97	99.97	28.5800	17.97	99.93	29.2750	17.97	99.69	NaN	17.94	NaN	28.6350	17.94	99.72	28.5775	17.94	99.95	28.5925	17.94	100.14	NaN	NaN	NaN	NaN	17.9700	17.97	OFF	17.9488	17.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:56	F1   	1014.9	0.0	28.6250	17.97	99.97	29.0800	17.97	99.92	28.5800	17.97	99.93	29.2600	17.97	99.83	NaN	17.95	NaN	28.5875	17.95	100.21	28.5712	17.95	99.97	28.5900	17.95	100.13	NaN	NaN	NaN	NaN	17.9650	17.96	OFF	17.9500	17.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:57	F1   	1014.9	0.0	28.6300	17.96	99.93	29.0950	17.96	99.79	28.5600	17.96	100.13	29.2550	17.96	99.89	NaN	17.95	NaN	28.5800	17.95	100.29	28.5787	17.95	99.88	28.5725	17.95	100.30	NaN	NaN	NaN	NaN	17.9650	17.96	OFF	17.9500	17.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:58	F1   	1014.9	0.0	28.6300	17.96	99.93	29.0900	17.96	99.84	28.5650	17.96	100.08	29.2500	17.96	99.94	NaN	17.95	NaN	28.5975	17.95	100.09	28.5800	17.95	99.87	28.5875	17.95	100.15	NaN	NaN	NaN	NaN	17.9700	17.97	OFF	17.9500	17.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:04:59	F1   	1014.9	0.0	28.6200	17.97	100.02	29.0850	17.97	99.87	28.5800	17.97	99.93	29.2450	17.97	99.97	NaN	17.95	NaN	28.6175	17.95	99.87	28.5712	17.95	99.97	28.5988	17.95	100.04	NaN	NaN	NaN	NaN	17.9700	17.97	OFF	17.9500	17.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:05:00	F1   	1014.9	0.0	28.6250	17.97	99.97	29.1000	17.97	99.73	28.5850	17.97	99.88	29.2550	17.97	99.88	NaN	17.95	NaN	28.6375	17.95	99.64	28.5525	17.95	100.17	28.5912	17.95	100.12	NaN	NaN	NaN	NaN	17.9700	17.97	OFF	17.9413	17.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/18/2019/08:05:01	F1   	1014.9	0.0	28.6300	17.97	99.92	29.0800	17.97	99.92	28.5900	17.97	99.84	29.2550	17.97	99.88	NaN	17.94	NaN	28.6312	17.94	99.76	28.5937	17.94	99.76	28.5725	17.94	100.34	NaN	NaN	NaN	NaN	17.9700	17.97	OFF	17.9400	17.94	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
