Date & time of file creation	7/23/2019 09:05																																													
Raw data file path	C:\Users\yaa23\Desktop\Resp\20190723_PredatorExp_acc_raw.txt																																													
Data file path	C:\Users\yaa23\Desktop\Resp\20190723_PredatorExp_acc.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	49.8162	28.7800	0.00	100.00	17.19	18.24																																							
Chamber 2	1	52.0787	29.3200	0.00	100.00	17.19	18.24																																							
Chamber 3	1	55.4062	28.7700	0.00	100.00	17.18	18.23																																							
Chamber 4	1	53.3363	29.5300	0.00	100.00	17.19	18.24																																							
																																														
Chamber 6	1	44.3075	28.8100	0.00	100.00	16.88	18.20																																							
Chamber 7	1	45.0000	28.7400	0.00	100.00	17.46	18.20																																							
Chamber 8	1	48.5650	28.4200	0.00	100.00	16.89	18.20																																							
																																														
																																														
Ambient temp N°1	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	16.128	1.01100000000000	0.342	1	10	Not used	Not used	Not used																																						
Chamber 2	16.128	0.812	0.521	1	Not used	Not used	Not used	Not used																																						
Chamber 3	16.128	1.091	0.291	1	Not used	Not used	Not used	Not used																																						
Chamber 4	16.128	1.076	0.488	1	Not used	Not used	Not used	Not used																																						
																																														
Chamber 6	16.128	0.768	0.375	1	Not used	Not used	Not used	Not used																																						
Chamber 7	16.128	0.818	0.392	1	Not used	Not used	Not used	Not used																																						
Chamber 8	16.128	0.949	0.316	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [V]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
7/23/2019/09:05:16	Flush	1007.5	0.0	28.5800	18.36	101.59	29.1400	18.36	101.37	28.5800	18.36	101.48	29.2600	18.36	102.22	NaN	18.36	NaN	28.6400	18.36	101.09	28.6800	18.36	99.89	28.0200	18.36	103.53	NaN	NaN	NaN	NaN	18.3500	18.35	OFF	18.3500	18.35	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/23/2019/09:05:17	Flush	1007.5	0.0	28.5700	18.35	101.72	29.1200	18.35	101.59	28.6000	18.35	101.31	29.2500	18.35	102.35	NaN	18.35	NaN	28.6300	18.35	101.26	28.7000	18.35	99.72	28.0000	18.35	103.78	NaN	NaN	NaN	NaN	18.3500	18.35	OFF	18.3500	18.35	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/23/2019/09:05:18	Flush	1007.5	0.0	28.5700	18.35	101.72	29.1000	18.35	101.78	28.5900	18.35	101.41	29.2600	18.35	102.25	NaN	18.35	NaN	28.6300	18.35	101.26	28.6900	18.35	99.83	27.9300	18.35	104.52	NaN	NaN	NaN	NaN	18.3600	18.36	OFF	18.3500	18.35	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/23/2019/09:05:19	F1   	1007.5	0.0	28.5900	18.36	101.48	29.1300	18.36	101.46	28.5900	18.36	101.38	29.2800	18.36	102.03	NaN	18.35	NaN	28.6700	18.35	100.80	28.6900	18.35	99.83	27.9900	18.35	103.89	NaN	NaN	NaN	NaN	18.3500	18.35	OFF	18.3500	18.35	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
