"Time","Q-S151 CO2","Probe Temp","Q-S102 O2","Q-G265 Flow V","Flow","AvgO2","animal #","note","animal # a","note a","iCO2","FiCO2","eCO2","FeCO2","iO2","FiO2","eO2","FeO2","Flow Rate","Assumed RQ","VCO2 (Assum.RQ)","VCO2 (from %O2)","VO2 (from %CO2)","calc. RQ"
0,436.95,25.1,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
1,436.95,25.1,3.85,1.23,211,3.852,,,,,,,,,,,,,,,,,,
2,436.95,25.1,3.85,1.23,211,3.852,,,,,,,,,,,,,,,,,,
3,436.91,25.1,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
4,436.84,25.1,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
5,436.51,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
6,436.51,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
7,436.80,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
8,436.73,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
9,436.43,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
10,436.36,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
11,436.28,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
12,436.25,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
13,436.28,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
14,435.99,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
15,435.99,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
16,436.21,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
17,436.21,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
18,436.21,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
19,436.21,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
20,436.28,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
21,436.32,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
22,436.28,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
23,436.32,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
24,435.91,25.2,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
25,436.21,25.1,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
26,436.17,25.2,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
27,436.13,25.1,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
28,436.10,25.2,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
29,436.02,25.2,3.85,1.23,213,3.853,,,,,,,,,,,,,,,,,,
30,435.88,25.2,3.85,1.23,213,3.853,,,,,,,,,,,,,,,,,,
31,435.88,25.2,3.85,1.23,213,3.853,,,,,,,,,,,,,,,,,,
32,435.76,25.2,3.85,1.23,213,3.853,,,,,,,,,,,,,,,,,,
33,435.73,25.2,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
34,435.69,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
35,435.73,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
36,435.54,25.2,3.85,1.23,213,3.852,,,,,,,,,,,,,,,,,,
37,435.21,25.2,3.85,1.23,213,3.852,,,,,,,,,,,,,,,,,,
38,435.02,25.2,3.85,1.23,213,3.852,,,,,,,,,,,,,,,,,,
39,434.87,25.2,3.85,1.23,213,3.852,,,,,,,,,,,,,,,,,,
40,434.62,25.2,3.85,1.23,213,3.852,,,,,,,,,,,,,,,,,,
41,434.62,25.2,3.85,1.23,213,3.852,,,,,,,,,,,,,,,,,,
42,434.58,25.2,3.85,1.23,213,3.852,,,,,,,,,,,,,,,,,,
43,434.58,25.2,3.85,1.23,213,3.852,,,,,,,,,,,,,,,,,,
44,434.50,25.2,3.85,1.23,213,3.852,,,,,,,,,,,,,,,,,,
45,434.54,25.2,3.85,1.23,213,3.852,,,,,,,,,,,,,,,,,,
46,434.50,25.2,3.85,1.23,213,3.852,,,,,,,,,,,,,,,,,,
47,434.47,25.2,3.85,1.24,213,3.852,,,,,,,,,,,,,,,,,,
48,434.54,25.2,3.85,1.23,213,3.851,,,,,,,,,,,,,,,,,,
49,434.47,25.2,3.85,1.23,213,3.851,,,,,,,,,,,,,,,,,,
50,434.50,25.2,3.85,1.23,213,3.851,,,,,,,,,,,,,,,,,,
51,434.47,25.2,3.85,1.23,213,3.851,,,,,,,,,,,,,,,,,,
52,434.24,25.2,3.85,1.23,212,3.850,,,,,,,,,,,,,,,,,,
53,434.13,25.2,3.85,1.23,212,3.850,,,,,,,,,,,,,,,,,,
54,434.17,25.2,3.85,1.23,212,3.851,,,,,,,,,,,,,,,,,,
55,434.32,25.2,3.85,1.23,212,3.851,,,,,,,,,,,,,,,,,,
56,434.32,25.2,3.85,1.23,212,3.851,,,,,,,,,,,,,,,,,,
57,434.24,25.2,3.85,1.23,212,3.851,,,,,,,,,,,,,,,,,,
58,434.13,25.2,3.85,1.23,212,3.851,,,,,,,,,,,,,,,,,,
59,434.02,25.2,3.85,1.23,212,3.851,,,,,,,,,,,,,,,,,,
60,434.02,25.2,3.85,1.23,212,3.851,,,,,,,,,,,,,,,,,,
61,433.80,25.2,3.85,1.23,212,3.851,,,,,,,,,,,,,,,,,,
62,433.76,25.2,3.85,1.23,212,3.851,,,,,,,,,,,,,,,,,,
63,433.73,25.2,3.85,1.23,212,3.851,,,,,,,,,,,,,,,,,,
64,433.69,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
65,433.95,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
66,433.73,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
67,433.65,25.2,3.85,1.23,213,3.852,,,,,,,,,,,,,,,,,,
68,433.28,25.2,3.85,1.23,213,3.853,,,,,,,,,,,,,,,,,,
69,433.28,25.2,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
70,433.36,25.2,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
71,433.13,25.2,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
72,433.10,25.2,3.85,1.23,212,3.853,,,,,,,,,,,,,,,,,,
73,433.17,25.2,3.85,1.23,211,3.852,,,,,,,,,,,,,,,,,,
74,433.28,25.2,3.85,1.23,211,3.852,,,,,,,,,,,,,,,,,,
75,433.28,25.2,3.85,1.23,211,3.852,,,,,,,,,,,,,,,,,,
76,433.39,25.2,3.85,1.23,211,3.852,,,,,,,,,,,,,,,,,,
77,433.58,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
78,433.73,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
79,433.54,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
80,433.39,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
81,433.47,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
82,433.87,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
83,433.91,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
84,433.87,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
85,433.84,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
86,433.80,25.2,3.85,1.23,213,3.851,,,,,,,,,,,,,,,,,,
87,433.69,25.2,3.85,1.23,213,3.851,,,,,,,,,,,,,,,,,,
88,433.73,25.2,3.85,1.23,212,3.851,,,,,,,,,,,,,,,,,,
89,433.65,25.2,3.85,1.23,212,3.851,,,,,,,,,,,,,,,,,,
90,433.21,25.2,3.85,1.23,212,3.851,,,,,,,,,,,,,,,,,,
91,433.13,25.2,3.85,1.23,212,3.851,,,,,,,,,,,,,,,,,,
92,433.17,25.2,3.85,1.23,212,3.851,,,,,,,,,,,,,,,,,,
93,433.06,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
94,432.80,25.2,3.85,1.23,211,3.852,,,,,,,,,,,,,,,,,,
95,432.58,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
96,432.54,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
97,432.50,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
98,432.73,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
99,432.69,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
100,432.61,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
101,432.65,25.2,3.85,1.23,212,3.852,,,,,,,,,,,,,,,,,,
102,432.76,25.2,3.85,1.23,211,3.852,,,,,,,,,,,,,,,,,,
103,432.69,25.2,3.85,1.23,211,3.852,,,,,,,,,,,,,,,,,,
