"Time","Q-S151 CO2","Probe Temp","Q-S102 O2","Q-G265 Flow V","Flow","AvgO2","animal #","note","animal # a","note a","iCO2","FiCO2","eCO2","FeCO2","iO2","FiO2","eO2","FeO2","Flow Rate","Assumed RQ","VCO2 (Assum.RQ)","VCO2 (from %O2)","VO2 (from %CO2)","calc. RQ"
0,453.36,25.4,-0.93,1.21,206,-0.932,,,,,,,,,,,,,,,,,,
1,452.88,25.4,-0.93,1.21,206,-0.932,,,,,,,,,,,,,,,,,,
2,452.62,25.4,-0.93,1.21,206,-0.932,,,,,,,,,,,,,,,,,,
3,452.29,25.4,-0.93,1.20,206,-0.932,,,,,,,,,,,,,,,,,,
4,451.99,25.4,-0.93,1.20,206,-0.932,,,,,,,,,,,,,,,,,,
5,451.62,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
6,451.62,25.4,-0.93,1.20,206,-0.932,,,,,,,,,,,,,,,,,,
7,451.36,25.4,-0.93,1.20,206,-0.932,,,,,,,,,,,,,,,,,,
8,450.95,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
9,450.50,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
10,450.10,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
11,449.73,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
12,449.54,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
13,449.65,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
14,449.50,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
15,449.54,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
16,449.24,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
17,449.32,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
18,449.13,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
19,448.87,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
20,448.76,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
21,448.76,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
22,448.76,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
23,448.28,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
24,447.95,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
25,447.57,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
26,448.06,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
27,447.87,25.4,-0.93,1.20,205,-0.932,,,,,,,,,,,,,,,,,,
28,447.76,25.4,-0.93,1.20,204,-0.932,,,,,,,,,,,,,,,,,,
29,447.65,25.4,-0.93,1.20,204,-0.932,,,,,,,,,,,,,,,,,,
30,447.50,25.4,-0.93,1.20,204,-0.932,,,,,,,,,,,,,,,,,,
31,447.02,25.4,-0.93,1.20,204,-0.932,,,,,,,,,,,,,,,,,,
