"Time","Q-S102 O2","Q-G265 Flow V","Q-S151 CO2","Probe Temp","Flow","AvgO2","animal #","note","animal # a","note a","iCO2","FiCO2","eCO2","FeCO2","iO2","FiO2","eO2","FeO2","Flow Rate","Assumed RQ","VCO2 (Assum.RQ)","VCO2 (from %O2)","VO2 (from %CO2)","calc. RQ"
0,3.98,1.24,446.04,23.5,214,3.983,,,,,,,,,,,,,,,,,,
1,3.98,1.24,446.11,23.5,214,3.983,,,,,,,,,,,,,,,,,,
2,3.98,1.24,446.41,23.5,214,3.983,,,,,,,,,,,,,,,,,,
3,3.98,1.24,446.37,23.5,214,3.982,,,,,,,,,,,,,,,,,,
4,3.98,1.24,447.07,23.5,214,3.982,,,,,,,,,,,,,,,,,,
5,3.98,1.24,447.11,23.5,214,3.981,,,,,,,,,,,,,,,,,,
6,3.98,1.24,447.63,23.5,214,3.980,,,,,,,,,,,,,,,,,,
7,3.98,1.24,447.85,23.5,214,3.980,,,,,,,,,,,,,,,,,,
8,3.98,1.24,448.10,23.5,214,3.979,,,,,,,,,,,,,,,,,,
9,3.98,1.23,448.51,23.5,213,3.978,,,,,,,,,,,,,,,,,,
10,3.98,1.23,448.81,23.5,213,3.977,,,,,,,,,,,,,,,,,,
11,3.98,1.23,448.84,23.5,213,3.976,,,,,,,,,,,,,,,,,,
12,3.98,1.23,448.84,23.5,213,3.976,,,,,,,,,,,,,,,,,,
13,3.98,1.23,448.73,23.5,213,3.975,,,,,,,,,,,,,,,,,,
14,3.97,1.23,448.62,23.5,213,3.975,,,,,,,,,,,,,,,,,,
15,3.97,1.24,448.66,23.5,214,3.974,,,,,,,,,,,,,,,,,,
16,3.98,1.24,448.84,23.5,214,3.973,,,,,,,,,,,,,,,,,,
17,3.97,1.24,448.92,23.5,214,3.972,,,,,,,,,,,,,,,,,,
18,3.97,1.24,448.66,23.5,214,3.971,,,,,,,,,,,,,,,,,,
19,3.97,1.23,448.84,23.5,213,3.970,,,,,,,,,,,,,,,,,,
20,3.97,1.23,449.03,23.5,213,3.970,,,,,,,,,,,,,,,,,,
21,3.97,1.23,448.95,23.5,212,3.970,,,,,,,,,,,,,,,,,,
22,3.97,1.23,449.43,23.5,213,3.970,,,,,,,,,,,,,,,,,,
23,3.97,1.23,449.77,23.5,213,3.970,,,,,,,,,,,,,,,,,,
24,3.97,1.24,449.99,23.5,213,3.970,,,,,,,,,,,,,,,,,,
25,3.97,1.24,450.17,23.5,214,3.971,,,,,,,,,,,,,,,,,,
26,3.97,1.24,450.17,23.5,215,3.971,,,,,,,,,,,,,,,,,,
27,3.97,1.24,450.17,23.5,215,3.971,,,,,,,,,,,,,,,,,,
28,3.97,1.24,450.17,23.5,214,3.971,,,,,,,,,,,,,,,,,,
29,3.97,1.24,450.17,23.5,214,3.971,,,,,,,,,,,,,,,,,,
30,3.97,1.24,450.06,23.5,214,3.970,,,,,,,,,,,,,,,,,,
31,3.97,1.24,450.10,23.5,214,3.969,,,,,,,,,,,,,,,,,,
32,3.97,1.24,450.17,23.5,214,3.968,,,,,,,,,,,,,,,,,,
33,3.97,1.24,450.10,23.5,214,3.968,,,,,,,,,,,,,,,,,,
34,3.97,1.24,450.21,23.5,214,3.967,,,,,,,,,,,,,,,,,,
35,3.97,1.24,450.39,23.5,214,3.967,,,,,,,,,,,,,,,,,,
36,3.97,1.24,450.69,23.5,214,3.967,,,,,,,,,,,,,,,,,,
37,3.97,1.24,450.43,23.5,214,3.967,,,,,,,,,,,,,,,,,,
38,3.97,1.24,450.58,23.5,214,3.966,,,,,,,,,,,,,,,,,,
39,3.97,1.24,451.02,23.5,215,3.966,,,,,,,,,,,,,,,,,,
40,3.96,1.24,451.24,23.5,214,3.966,,,,,,,,,,,,,,,,,,
41,3.97,1.24,451.57,23.5,214,3.965,,,,,,,,,,,,,,,,,,
42,3.97,1.24,451.65,23.5,214,3.965,,,,,,,,,,,,,,,,,,
43,3.97,1.24,451.83,23.5,214,3.965,,,,,,,,,,,,,,,,,,
44,3.96,1.23,451.76,23.5,213,3.965,,,,,,,,,,,,,,,,,,
45,3.96,1.23,451.94,23.5,213,3.965,,,,,,,,,,,,,,,,,,
46,3.97,1.24,452.09,23.5,213,3.965,,,,,,,,,,,,,,,,,,
47,3.97,1.23,452.31,23.5,213,3.965,,,,,,,,,,,,,,,,,,
48,3.96,1.24,452.35,23.5,213,3.964,,,,,,,,,,,,,,,,,,
49,3.96,1.24,452.46,23.5,213,3.964,,,,,,,,,,,,,,,,,,
50,3.96,1.24,452.50,23.5,214,3.964,,,,,,,,,,,,,,,,,,
