Date & time of file creation	7/12/2019 15:20																																													
Raw data file path	C:\Users\yaa23\Desktop\Resp\20190712_PredatorExp_smr_Treat_raw.txt																																													
Data file path	C:\Users\yaa23\Desktop\Resp\20190712_PredatorExp_smr_Treat.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	49.8162	28.5800	0.00	100.00	17.19	17.79																																							
Chamber 2	1	52.0787	29.1650	0.00	100.00	17.19	17.79																																							
Chamber 3	1	55.4062	28.5825	0.00	100.00	17.18	17.79																																							
Chamber 4	1	53.3363	29.2625	0.00	100.00	17.19	17.79																																							
																																														
Chamber 6	1	44.3075	28.7512	0.00	100.00	16.88	17.75																																							
Chamber 7	1	45.0000	28.5712	0.00	100.00	17.46	17.75																																							
Chamber 8	1	48.5650	28.6525	0.00	100.00	16.89	17.75																																							
																																														
																																														
Ambient temp N°1	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	16.128	1.01100000000000	0.2996	1	10	Not used	Not used	Not used																																						
Chamber 2	16.128	0.812	0.3131	1	Not used	Not used	Not used	Not used																																						
Chamber 3	16.128	1.091	0.279500	1	Not used	Not used	Not used	Not used																																						
Chamber 4	16.128	1.076	0.2267	1	Not used	Not used	Not used	Not used																																						
																																														
Chamber 6	16.128	0.768	0.1981	1	Not used	Not used	Not used	Not used																																						
Chamber 7	16.128	0.818	0.3394	1	Not used	Not used	Not used	Not used																																						
Chamber 8	16.128	0.949	0.2313	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [V]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
7/12/2019/15:20:41	Flush	1006.1	0.0	28.6700	18.56	96.64	29.1775	18.56	97.63	28.6212	18.56	97.87	29.3612	18.56	97.00	NaN	18.32	NaN	28.6812	18.32	97.92	28.7825	18.32	95.13	28.6913	18.32	97.58	NaN	NaN	NaN	NaN	18.5600	18.56	OFF	18.3200	18.32	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/15:20:42	Flush	1006.1	0.0	28.6612	18.56	96.72	29.1537	18.56	97.85	28.6375	18.56	97.72	29.3688	18.56	96.93	NaN	18.32	NaN	28.6800	18.32	97.93	28.7975	18.32	94.97	28.7162	18.32	97.33	NaN	NaN	NaN	NaN	18.5600	18.56	OFF	18.3200	18.32	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/12/2019/15:20:43	Flush	1006.1	0.0	28.6425	18.56	96.90	29.1588	18.56	97.81	28.6312	18.56	97.78	29.3525	18.56	97.08	NaN	18.32	NaN	28.6625	18.32	98.13	28.7825	18.32	95.13	28.7112	18.32	97.38	NaN	NaN	NaN	NaN	18.5600	18.56	OFF	18.3200	18.32	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
