"Time","Q-S151 CO2","Probe Temp","Q-S102 O2","Q-G265 Flow V","Flow","AvgO2","animal #","note","animal # a","note a","iCO2","FiCO2","eCO2","FeCO2","iO2","FiO2","eO2","FeO2","Flow Rate","Assumed RQ","VCO2 (Assum.RQ)","VCO2 (from %O2)","VO2 (from %CO2)","calc. RQ"
0,482.73,22.8,3.95,1.23,212,3.951,,,,,,,,,,,,,,,,,,
1,482.73,22.8,3.95,1.23,212,3.951,,,,,,,,,,,,,,,,,,
2,482.73,22.8,3.95,1.23,212,3.952,,,,,,,,,,,,,,,,,,
3,482.76,22.8,3.95,1.23,212,3.952,,,,,,,,,,,,,,,,,,
4,482.73,22.8,3.95,1.23,212,3.952,,,,,,,,,,,,,,,,,,
5,482.65,22.8,3.95,1.23,212,3.952,,,,,,,,,,,,,,,,,,
6,482.65,22.8,3.95,1.23,212,3.952,,,,,,,,,,,,,,,,,,
7,481.80,22.8,3.95,1.23,212,3.952,,,,,,,,,,,,,,,,,,
8,482.54,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
9,482.32,22.8,3.95,1.23,213,3.953,,,,,,,,,,,,,,,,,,
10,482.43,22.8,3.95,1.23,213,3.953,,,,,,,,,,,,,,,,,,
11,482.28,22.8,3.95,1.23,213,3.953,,,,,,,,,,,,,,,,,,
12,481.99,22.8,3.95,1.23,212,3.953,,,,,,,,,,,,,,,,,,
13,481.76,22.8,3.95,1.23,212,3.954,,,,,,,,,,,,,,,,,,
14,481.62,22.8,3.95,1.23,212,3.954,,,,,,,,,,,,,,,,,,
15,481.58,22.8,3.95,1.23,212,3.954,,,,,,,,,,,,,,,,,,
16,481.50,22.8,3.95,1.23,212,3.954,,,,,,,,,,,,,,,,,,
17,481.43,22.8,3.95,1.23,213,3.954,,,,,,,,,,,,,,,,,,
18,481.06,22.8,3.95,1.23,213,3.953,,,,,,,,,,,,,,,,,,
19,481.32,22.8,3.95,1.23,213,3.953,,,,,,,,,,,,,,,,,,
20,481.21,22.8,3.95,1.23,213,3.953,,,,,,,,,,,,,,,,,,
21,481.10,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
22,481.28,22.8,3.95,1.23,213,3.953,,,,,,,,,,,,,,,,,,
23,481.21,22.8,3.95,1.23,213,3.953,,,,,,,,,,,,,,,,,,
24,481.32,22.8,3.95,1.23,213,3.953,,,,,,,,,,,,,,,,,,
25,481.28,22.8,3.95,1.23,213,3.953,,,,,,,,,,,,,,,,,,
26,481.43,22.8,3.96,1.23,213,3.953,,,,,,,,,,,,,,,,,,
27,481.50,22.8,3.95,1.23,213,3.953,,,,,,,,,,,,,,,,,,
28,481.13,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
29,481.06,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
30,481.02,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
31,480.98,22.8,3.95,1.23,213,3.951,,,,,,,,,,,,,,,,,,
32,481.02,22.8,3.95,1.23,213,3.951,,,,,,,,,,,,,,,,,,
33,480.98,22.8,3.95,1.23,213,3.951,,,,,,,,,,,,,,,,,,
34,481.02,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
35,480.98,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
36,480.98,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
37,480.98,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
38,480.98,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
39,480.98,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
40,480.91,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
41,480.73,22.8,3.95,1.24,213,3.952,,,,,,,,,,,,,,,,,,
42,480.06,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
43,479.91,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
44,479.95,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
45,480.17,22.8,3.95,1.24,213,3.952,,,,,,,,,,,,,,,,,,
46,480.02,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
47,479.80,22.8,3.95,1.23,212,3.952,,,,,,,,,,,,,,,,,,
48,479.80,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
49,479.72,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
50,479.65,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
51,479.72,22.8,3.95,1.23,213,3.953,,,,,,,,,,,,,,,,,,
52,479.76,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
53,479.72,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
54,479.84,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
55,480.02,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
56,480.21,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
57,480.13,22.8,3.95,1.24,213,3.951,,,,,,,,,,,,,,,,,,
58,479.84,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
59,479.72,22.8,3.95,1.23,212,3.952,,,,,,,,,,,,,,,,,,
60,479.87,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
61,479.98,22.8,3.95,1.23,213,3.952,,,,,,,,,,,,,,,,,,
62,479.84,22.8,3.95,1.23,213,3.953,,,,,,,,,,,,,,,,,,
63,479.69,22.8,3.95,1.23,213,3.953,,,,,,,,,,,,,,,,,,
64,480.02,22.8,3.96,1.23,213,3.953,,,,,,,,,,,,,,,,,,
65,479.98,22.8,3.96,1.23,213,3.954,,,,,,,,,,,,,,,,,,
66,479.87,22.8,3.95,1.23,213,3.953,,,,,,,,,,,,,,,,,,
67,479.84,22.8,3.95,1.23,213,3.954,,,,,,,,,,,,,,,,,,
68,479.80,22.8,3.95,1.23,213,3.953,,,,,,,,,,,,,,,,,,
69,479.84,22.8,3.95,1.23,213,3.953,,,,,,,,,,,,,,,,,,
70,479.80,22.8,3.95,1.23,213,3.954,,,,,,,,,,,,,,,,,,
71,479.69,22.8,3.95,1.24,214,3.954,,,,,,,,,,,,,,,,,,
72,479.35,22.8,3.96,1.24,214,3.954,,,,,,,,,,,,,,,,,,
73,479.28,22.8,3.96,1.23,213,3.954,,,,,,,,,,,,,,,,,,
74,479.21,22.8,3.95,1.23,213,3.954,,,,,,,,,,,,,,,,,,
75,479.21,22.8,3.95,1.23,213,3.954,,,,,,,,,,,,,,,,,,
76,479.13,22.8,3.95,1.23,213,3.954,,,,,,,,,,,,,,,,,,
77,478.91,22.8,3.95,1.23,213,3.954,,,,,,,,,,,,,,,,,,
78,479.02,22.8,3.96,1.23,213,3.955,,,,,,,,,,,,,,,,,,
79,479.02,22.8,3.96,1.23,212,3.955,,,,,,,,,,,,,,,,,,
80,479.24,22.8,3.96,1.23,212,3.956,,,,,,,,,,,,,,,,,,
81,479.21,22.8,3.96,1.23,212,3.956,,,,,,,,,,,,,,,,,,
82,479.17,22.8,3.96,1.23,213,3.956,,,,,,,,,,,,,,,,,,
83,479.21,22.8,3.96,1.23,213,3.956,,,,,,,,,,,,,,,,,,
84,479.24,22.8,3.96,1.23,213,3.956,,,,,,,,,,,,,,,,,,
85,479.32,22.8,3.96,1.23,213,3.955,,,,,,,,,,,,,,,,,,
86,479.28,22.8,3.96,1.23,213,3.955,,,,,,,,,,,,,,,,,,
87,479.28,22.8,3.96,1.24,213,3.955,,,,,,,,,,,,,,,,,,
88,478.98,22.8,3.95,1.24,213,3.955,,,,,,,,,,,,,,,,,,
89,479.02,22.8,3.95,1.24,213,3.955,,,,,,,,,,,,,,,,,,
90,479.21,22.8,3.96,1.24,214,3.955,,,,,,,,,,,,,,,,,,
91,479.21,22.8,3.96,1.24,214,3.955,,,,,,,,,,,,,,,,,,
92,479.13,22.8,3.96,1.24,213,3.955,,,,,,,,,,,,,,,,,,
93,479.17,22.8,3.96,1.24,213,3.956,,,,,,,,,,,,,,,,,,
94,479.13,22.8,3.96,1.24,213,3.956,,,,,,,,,,,,,,,,,,
95,479.13,22.8,3.96,1.24,214,3.955,,,,,,,,,,,,,,,,,,
96,479.17,22.8,3.96,1.24,214,3.955,,,,,,,,,,,,,,,,,,
97,479.13,22.8,3.95,1.23,213,3.954,,,,,,,,,,,,,,,,,,
98,478.98,22.8,3.95,1.23,213,3.954,,,,,,,,,,,,,,,,,,
