Time,Q-G265 Flow,Q-S151 CO2,Probe Temp,Q-S102 O2,Flow,AvgO2,animal #,note,animal # a,note a,iCO2,FiCO2,eCO2,FeCO2,iO2,FiO2,eO2,FeO2,Flow Rate,Assumed RQ,VCO2 (Assum.RQ),VCO2 (from %O2),VO2 (from %CO2),calc. RQ
0,1.24,501.61,24.2,3.93,214,3.926,,,,,,,,,,,,,,,,,,
1,1.24,501.35,24.2,3.93,215,3.926,,,,,,,,,,,,,,,,,,
2,1.24,501.13,24.2,3.93,214,3.926,,,,,,,,,,,,,,,,,,
3,1.24,500.94,24.2,3.93,215,3.926,,,,,,,,,,,,,,,,,,
4,1.24,500.61,24.2,3.93,214,3.926,,,,,,,,,,,,,,,,,,
5,1.24,500.43,24.2,3.93,214,3.926,,,,,,,,,,,,,,,,,,
6,1.24,500.43,24.2,3.93,214,3.926,,,,,,,,,,,,,,,,,,
7,1.24,500.24,24.2,3.93,214,3.926,,,,,,,,,,,,,,,,,,
8,1.24,500.17,24.2,3.93,214,3.927,,,,,,,,,,,,,,,,,,
9,1.24,500.06,24.2,3.93,214,3.927,,,,,,,,,,,,,,,,,,
10,1.24,499.98,24.2,3.93,214,3.927,,,,,,,,,,,,,,,,,,
11,1.24,499.91,24.2,3.93,214,3.927,,,,,,,,,,,,,,,,,,
12,1.24,499.76,24.2,3.93,214,3.927,,,,,,,,,,,,,,,,,,
13,1.23,499.58,24.2,3.93,213,3.927,,,,,,,,,,,,,,,,,,
14,1.23,499.32,24.2,3.93,212,3.926,,,,,,,,,,,,,,,,,,
15,1.23,498.87,24.2,3.93,213,3.926,,,,,,,,,,,,,,,,,,
16,1.23,498.02,24.2,3.93,213,3.926,,,,,,,,,,,,,,,,,,
17,1.23,497.13,24.2,3.93,213,3.926,,,,,,,,,,,,,,,,,,
18,1.23,495.69,24.2,3.93,213,3.926,,,,,,,,,,,,,,,,,,
19,1.24,493.84,24.2,3.93,213,3.927,,,,,,,,,,,,,,,,,,
20,1.24,491.4,24.2,3.93,214,3.928,,,,,,,,,,,,,,,,,,
21,1.24,489.33,24.1,3.93,214,3.928,,,,,,,,,,,,,,,,,,
22,1.24,487,24.1,3.93,214,3.929,,,,,,,,,,,,,,,,,,
23,1.24,484.63,24.1,3.93,214,3.93,,,,,,,,,,,,,,,,,,
24,1.24,482.27,24.1,3.93,214,3.931,,,,,,,,,,,,,,,,,,
25,1.24,480.08,24.1,3.93,214,3.932,,,,,,,,,,,,,,,,,,
26,1.24,478.01,24.1,3.93,214,3.932,,,,,,,,,,,,,,,,,,
27,1.24,475.83,24.1,3.93,214,3.932,,,,,,,,,,,,,,,,,,
28,1.24,474.2,24.1,3.93,214,3.933,,,,,,,,,,,,,,,,,,
29,1.24,472.46,24.1,3.93,213,3.933,,,,,,,,,,,,,,,,,,
30,1.24,470.91,24.1,3.93,214,3.933,,,,,,,,,,,,,,,,,,
31,1.24,469.76,24.1,3.93,214,3.933,,,,,,,,,,,,,,,,,,
32,1.24,468.51,24.1,3.93,214,3.933,,,,,,,,,,,,,,,,,,
33,1.24,467.62,24.1,3.93,214,3.934,,,,,,,,,,,,,,,,,,
34,1.24,466.4,24.1,3.93,214,3.934,,,,,,,,,,,,,,,,,,
35,1.24,465.62,24.1,3.93,214,3.934,,,,,,,,,,,,,,,,,,
36,1.24,465.1,24.1,3.94,214,3.934,,,,,,,,,,,,,,,,,,
37,1.24,464.22,24.1,3.93,214,3.934,,,,,,,,,,,,,,,,,,
38,1.24,463.81,24.1,3.93,214,3.934,,,,,,,,,,,,,,,,,,
39,1.24,463.44,24.1,3.93,214,3.934,,,,,,,,,,,,,,,,,,
40,1.24,463.03,24.1,3.93,214,3.934,,,,,,,,,,,,,,,,,,
41,1.24,463.22,24.1,3.93,215,3.934,,,,,,,,,,,,,,,,,,
42,1.24,463.22,24.1,3.94,215,3.934,,,,,,,,,,,,,,,,,,
43,1.24,463.11,24.1,3.93,215,3.934,,,,,,,,,,,,,,,,,,
44,1.24,463.07,24.1,3.93,215,3.934,,,,,,,,,,,,,,,,,,
45,1.24,463.18,24.1,3.93,215,3.934,,,,,,,,,,,,,,,,,,
46,1.24,463.14,24.1,3.93,215,3.934,,,,,,,,,,,,,,,,,,
47,1.24,463.18,24.1,3.93,214,3.934,,,,,,,,,,,,,,,,,,
48,1.24,463.18,24.1,3.93,214,3.934,,,,,,,,,,,,,,,,,,
49,1.24,463.18,24.1,3.93,214,3.934,,,,,,,,,,,,,,,,,,
50,1.24,463.22,24.1,3.94,214,3.934,,,,,,,,,,,,,,,,,,
51,1.24,463.18,24.1,3.93,214,3.934,,,,,,,,,,,,,,,,,,
52,1.24,463.18,24.1,3.93,214,3.934,,,,,,,,,,,,,,,,,,
53,1.24,463.22,24.1,3.93,214,3.934,,,,,,,,,,,,,,,,,,
54,1.24,463.18,24.1,3.93,214,3.935,,,,,,,,,,,,,,,,,,
55,1.24,463.07,24.1,3.93,214,3.935,,,,,,,,,,,,,,,,,,
56,1.24,463.07,24.1,3.94,215,3.935,,,,,,,,,,,,,,,,,,
57,1.24,462.96,24.1,3.94,214,3.935,,,,,,,,,,,,,,,,,,
58,1.24,462.81,24.1,3.94,215,3.935,,,,,,,,,,,,,,,,,,
59,1.24,462.81,24.1,3.93,214,3.935,,,,,,,,,,,,,,,,,,
60,1.24,462.85,24.1,3.94,214,3.935,,,,,,,,,,,,,,,,,,
61,1.24,462.81,24.1,3.94,214,3.935,,,,,,,,,,,,,,,,,,
62,1.24,462.77,24,3.94,214,3.935,,,,,,,,,,,,,,,,,,
63,1.24,462.52,24,3.93,214,3.935,,,,,,,,,,,,,,,,,,
64,1.24,462.29,24,3.93,214,3.935,,,,,,,,,,,,,,,,,,
65,1.24,462.22,24,3.94,214,3.935,,,,,,,,,,,,,,,,,,
66,1.24,462.11,24,3.93,214,3.935,,,,,,,,,,,,,,,,,,
67,1.24,462.18,24,3.94,215,3.936,,,,,,,,,,,,,,,,,,
68,1.24,462.07,24,3.94,214,3.936,,,,,,,,,,,,,,,,,,
69,1.24,461.89,24,3.94,214,3.936,,,,,,,,,,,,,,,,,,
70,1.24,462.07,24,3.94,214,3.937,,,,,,,,,,,,,,,,,,
