"Time","Q-S151 CO2","Probe Temp","Q-S102 O2","Q-G265 Flow V","Flow","AvgO2","animal #","note","animal # a","note a","iCO2","FiCO2","eCO2","FeCO2","iO2","FiO2","eO2","FeO2","Flow Rate","Assumed RQ","VCO2 (Assum.RQ)","VCO2 (from %O2)","VO2 (from %CO2)","calc. RQ"
0,455.77,24.8,4.02,1.24,214,4.018,,,,,,,,,,,,,,,,,,
1,455.29,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
2,455.18,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
3,455.18,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
4,455.22,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
5,455.11,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
6,455.07,24.8,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
7,455.00,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
8,454.85,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
9,454.88,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
10,454.85,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
11,454.92,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
12,455.11,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
13,455.22,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
14,455.33,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
15,455.37,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
16,455.33,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
17,455.33,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
18,455.37,24.8,4.02,1.24,214,4.016,,,,,,,,,,,,,,,,,,
19,455.37,24.8,4.02,1.24,214,4.016,,,,,,,,,,,,,,,,,,
20,455.29,24.8,4.02,1.24,214,4.016,,,,,,,,,,,,,,,,,,
21,454.96,24.8,4.02,1.24,214,4.016,,,,,,,,,,,,,,,,,,
22,455.33,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
23,455.29,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
24,455.29,24.8,4.02,1.24,214,4.016,,,,,,,,,,,,,,,,,,
25,455.25,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
26,455.11,24.8,4.01,1.24,214,4.016,,,,,,,,,,,,,,,,,,
27,455.22,24.8,4.02,1.24,214,4.016,,,,,,,,,,,,,,,,,,
28,455.14,24.8,4.02,1.24,214,4.016,,,,,,,,,,,,,,,,,,
29,455.03,24.8,4.02,1.24,214,4.016,,,,,,,,,,,,,,,,,,
30,454.66,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
31,454.59,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
32,454.88,24.8,4.02,1.24,214,4.018,,,,,,,,,,,,,,,,,,
33,454.85,24.8,4.02,1.24,214,4.018,,,,,,,,,,,,,,,,,,
34,454.81,24.8,4.02,1.24,214,4.018,,,,,,,,,,,,,,,,,,
35,454.81,24.8,4.02,1.24,214,4.018,,,,,,,,,,,,,,,,,,
36,454.81,24.8,4.02,1.24,214,4.018,,,,,,,,,,,,,,,,,,
37,454.85,24.8,4.02,1.24,214,4.018,,,,,,,,,,,,,,,,,,
38,454.81,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
39,454.88,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
40,454.62,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
41,454.74,24.8,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
42,454.96,24.7,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
43,455.07,24.7,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
44,455.18,24.7,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
45,455.22,24.7,4.02,1.24,214,4.018,,,,,,,,,,,,,,,,,,
46,455.29,24.7,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
47,455.29,24.7,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
48,455.25,24.7,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
49,454.92,24.7,4.01,1.24,214,4.017,,,,,,,,,,,,,,,,,,
50,454.92,24.7,4.01,1.24,214,4.017,,,,,,,,,,,,,,,,,,
51,455.25,24.7,4.02,1.24,214,4.016,,,,,,,,,,,,,,,,,,
52,455.14,24.7,4.02,1.24,214,4.016,,,,,,,,,,,,,,,,,,
53,455.14,24.7,4.02,1.24,214,4.016,,,,,,,,,,,,,,,,,,
54,455.00,24.7,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
55,455.03,24.7,4.02,1.24,214,4.016,,,,,,,,,,,,,,,,,,
56,455.03,24.7,4.02,1.24,214,4.016,,,,,,,,,,,,,,,,,,
57,455.03,24.7,4.02,1.24,214,4.016,,,,,,,,,,,,,,,,,,
58,454.81,24.7,4.02,1.24,214,4.016,,,,,,,,,,,,,,,,,,
59,454.51,24.7,4.02,1.24,214,4.016,,,,,,,,,,,,,,,,,,
60,454.40,24.7,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
61,454.77,24.7,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
62,454.70,24.7,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
63,454.70,24.7,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
64,454.59,24.7,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
65,454.59,24.7,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
66,454.51,24.7,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
67,454.51,24.7,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
68,454.44,24.7,4.02,1.24,214,4.016,,,,,,,,,,,,,,,,,,
69,454.51,24.7,4.02,1.24,214,4.016,,,,,,,,,,,,,,,,,,
