"Time","Q-S151 CO2","Temperature","Q-S102 O2","Q-G265 Flow V","Flow","AvgO2","animal #","note","animal # a","note a","iCO2","FiCO2","eCO2","FeCO2","iO2","FiO2","eO2","FeO2","Flow Rate","Assumed RQ","VCO2 (Assum.RQ)","VCO2 (from %O2)","VO2 (from %CO2)","calc. RQ"
0,462.30,24.1,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
1,462.41,24.1,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
2,462.52,24.1,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
3,462.48,24.1,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
4,462.56,24.1,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
5,462.52,24.1,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
6,462.56,24.1,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
7,462.56,24.1,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
8,462.59,24.1,4.02,1.24,214,4.017,,,,,,,,,,,,,,,,,,
9,462.30,24.1,4.01,1.24,214,4.017,,,,,,,,,,,,,,,,,,
10,462.59,24.2,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
11,462.59,24.2,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
12,462.59,24.2,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
13,462.33,24.2,4.02,1.24,215,4.018,,,,,,,,,,,,,,,,,,
14,462.45,24.2,4.02,1.24,215,4.018,,,,,,,,,,,,,,,,,,
15,462.41,24.2,4.02,1.24,215,4.018,,,,,,,,,,,,,,,,,,
16,462.48,24.2,4.02,1.24,215,4.018,,,,,,,,,,,,,,,,,,
17,462.37,24.2,4.02,1.24,215,4.018,,,,,,,,,,,,,,,,,,
18,462.45,24.2,4.02,1.24,215,4.018,,,,,,,,,,,,,,,,,,
19,462.41,24.2,4.02,1.24,215,4.018,,,,,,,,,,,,,,,,,,
20,462.04,24.2,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
21,461.82,24.2,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
22,461.82,24.2,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
23,461.70,24.2,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
24,461.67,24.2,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
25,461.56,24.2,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
26,461.59,24.2,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
27,461.52,24.2,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
28,461.56,24.2,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
29,461.56,24.2,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
30,461.48,24.2,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
31,461.96,24.2,4.02,1.24,215,4.017,,,,,,,,,,,,,,,,,,
