"Time","Q-S151 CO2","Probe Temp","Q-S102 O2","Q-G265 Flow V","Flow","AvgO2","animal #","note","animal # a","note a","iCO2","FiCO2","eCO2","FeCO2","iO2","FiO2","eO2","FeO2","Flow Rate","Assumed RQ","VCO2 (Assum.RQ)","VCO2 (from %O2)","VO2 (from %CO2)","calc. RQ"
0,461.48,24.7,3.96,1.23,211,3.959,,,,,,,,,,,,,,,,,,
1,461.45,24.7,3.96,1.22,211,3.959,,,,,,,,,,,,,,,,,,
2,461.67,24.7,3.96,1.23,211,3.959,,,,,,,,,,,,,,,,,,
3,462.56,24.7,3.96,1.23,211,3.959,,,,,,,,,,,,,,,,,,
4,463.93,24.7,3.96,1.23,211,3.958,,,,,,,,,,,,,,,,,,
5,465.34,24.7,3.96,1.22,211,3.958,,,,,,,,,,,,,,,,,,
6,467.52,24.7,3.96,1.22,211,3.958,,,,,,,,,,,,,,,,,,
7,469.49,24.7,3.96,1.22,211,3.958,,,,,,,,,,,,,,,,,,
8,471.45,24.7,3.96,1.23,211,3.958,,,,,,,,,,,,,,,,,,
9,473.49,24.7,3.96,1.22,211,3.958,,,,,,,,,,,,,,,,,,
10,475.01,24.7,3.96,1.22,211,3.958,,,,,,,,,,,,,,,,,,
11,476.46,24.7,3.96,1.23,211,3.958,,,,,,,,,,,,,,,,,,
12,477.16,24.7,3.96,1.23,211,3.958,,,,,,,,,,,,,,,,,,
13,477.72,24.7,3.96,1.23,211,3.958,,,,,,,,,,,,,,,,,,
14,477.68,24.7,3.96,1.23,211,3.958,,,,,,,,,,,,,,,,,,
15,477.27,24.7,3.96,1.22,211,3.958,,,,,,,,,,,,,,,,,,
16,476.57,24.7,3.96,1.22,211,3.958,,,,,,,,,,,,,,,,,,
17,475.94,24.7,3.96,1.23,211,3.958,,,,,,,,,,,,,,,,,,
18,474.71,24.7,3.96,1.23,211,3.958,,,,,,,,,,,,,,,,,,
19,473.90,24.7,3.96,1.23,211,3.958,,,,,,,,,,,,,,,,,,
20,473.01,24.7,3.96,1.23,211,3.958,,,,,,,,,,,,,,,,,,
21,472.05,24.7,3.96,1.23,211,3.958,,,,,,,,,,,,,,,,,,
22,471.23,24.7,3.96,1.23,211,3.958,,,,,,,,,,,,,,,,,,
23,470.56,24.7,3.96,1.23,211,3.958,,,,,,,,,,,,,,,,,,
24,470.67,24.7,3.96,1.23,211,3.958,,,,,,,,,,,,,,,,,,
25,470.30,24.7,3.96,1.23,211,3.958,,,,,,,,,,,,,,,,,,
26,470.30,24.7,3.96,1.23,211,3.957,,,,,,,,,,,,,,,,,,
27,470.30,24.7,3.96,1.23,211,3.958,,,,,,,,,,,,,,,,,,
28,470.64,24.7,3.96,1.23,211,3.957,,,,,,,,,,,,,,,,,,
29,471.05,24.7,3.96,1.23,211,3.957,,,,,,,,,,,,,,,,,,
30,471.23,24.7,3.96,1.23,211,3.957,,,,,,,,,,,,,,,,,,
31,471.53,24.7,3.96,1.22,211,3.957,,,,,,,,,,,,,,,,,,
32,471.90,24.7,3.96,1.22,211,3.957,,,,,,,,,,,,,,,,,,
33,472.42,24.7,3.96,1.23,211,3.957,,,,,,,,,,,,,,,,,,
34,472.94,24.7,3.96,1.23,211,3.956,,,,,,,,,,,,,,,,,,
35,472.94,24.7,3.96,1.23,211,3.956,,,,,,,,,,,,,,,,,,
36,472.97,24.7,3.96,1.22,211,3.956,,,,,,,,,,,,,,,,,,
37,473.08,24.7,3.96,1.23,211,3.956,,,,,,,,,,,,,,,,,,
38,472.94,24.7,3.96,1.23,211,3.956,,,,,,,,,,,,,,,,,,
39,472.94,24.7,3.96,1.23,211,3.956,,,,,,,,,,,,,,,,,,
40,472.53,24.7,3.96,1.23,211,3.956,,,,,,,,,,,,,,,,,,
41,472.12,24.7,3.95,1.23,211,3.956,,,,,,,,,,,,,,,,,,
42,471.79,24.7,3.96,1.23,211,3.956,,,,,,,,,,,,,,,,,,
43,471.30,24.7,3.96,1.23,211,3.956,,,,,,,,,,,,,,,,,,
44,471.19,24.7,3.96,1.23,211,3.956,,,,,,,,,,,,,,,,,,
45,471.19,24.7,3.96,1.23,211,3.956,,,,,,,,,,,,,,,,,,
46,471.08,24.7,3.96,1.22,211,3.956,,,,,,,,,,,,,,,,,,
47,471.01,24.7,3.96,1.22,211,3.955,,,,,,,,,,,,,,,,,,
48,470.82,24.7,3.95,1.22,211,3.955,,,,,,,,,,,,,,,,,,
49,470.93,24.7,3.96,1.23,211,3.955,,,,,,,,,,,,,,,,,,
50,470.75,24.7,3.95,1.22,211,3.955,,,,,,,,,,,,,,,,,,
51,471.08,24.7,3.96,1.22,211,3.955,,,,,,,,,,,,,,,,,,
52,471.12,24.7,3.96,1.22,211,3.956,,,,,,,,,,,,,,,,,,
53,471.23,24.7,3.96,1.22,211,3.956,,,,,,,,,,,,,,,,,,
54,471.30,24.7,3.96,1.23,211,3.957,,,,,,,,,,,,,,,,,,
55,471.19,24.7,3.96,1.23,211,3.957,,,,,,,,,,,,,,,,,,
56,471.19,24.7,3.96,1.23,211,3.957,,,,,,,,,,,,,,,,,,
57,471.16,24.7,3.96,1.23,211,3.957,,,,,,,,,,,,,,,,,,
58,471.19,24.7,3.96,1.23,211,3.958,,,,,,,,,,,,,,,,,,
59,471.19,24.7,3.96,1.23,211,3.958,,,,,,,,,,,,,,,,,,
60,471.01,24.7,3.96,1.22,211,3.958,,,,,,,,,,,,,,,,,,
61,470.90,24.7,3.96,1.22,211,3.957,,,,,,,,,,,,,,,,,,
62,470.79,24.7,3.96,1.23,211,3.956,,,,,,,,,,,,,,,,,,
63,470.64,24.7,3.96,1.23,211,3.956,,,,,,,,,,,,,,,,,,
64,470.41,24.7,3.95,1.23,211,3.955,,,,,,,,,,,,,,,,,,
65,470.49,24.7,3.95,1.23,211,3.955,,,,,,,,,,,,,,,,,,
