Individual,Treatment,Start,End,Start,End,Start,End,WWt,Cotton
A,N,100,300,480,680,850,1050,0.0545,n
A,V,1850,2050,2400,2600,2800,3000,0.0545,n
A,S,4400,4600,4800,5000,5300,5500,0.0545,y
B,V,7100,7300,7500,7700,7850,8050,0.0363,y
B,N,8700,8900,9050,9250,9500,9700,0.0363,y
B,S,10400,10600,10750,10950,11100,11300,0.0363,y
C,S,12050,12250,12400,12600,12800,13000,0.0306,y
C,V,13750,13950,14150,14350,14500,14700,0.0306,y
C,N,15400,15600,15850,16050,16200,16400,0.0306,y
D,S-wet?,17170,17370,17560,17760,18000,18200,0.0406,y
D,N,20150,20350,19450,19650,19800,20000,0.0406,y
D,N-wet?,19000,19200,,,,,,y
D,V,21050,21250,21400,21600,21800,22000,0.0406,y
BLANK,BLANK,22300,22500,22650,22850,23000,23200,0,y
D,S,23830,24030,24300,24500,24850,25050,0.0406,y
BLANK_SP,BLANK_SP,25300,25500,25800,26000,26400,26600,0,y
