Individual,Treatment,Start,End,Start,End,Start,End,Wet Weight (g),Date,Pressure,Rand Order,Treatments,
A,N,300,500,700,900,1050,1250,0.0441,19-Jul,29.81,3,N,Nothing
A,C,2200,2400,2550,2750,2950,3150,0.0441,19-Jul,29.81,2,C,Chemical
A,B,4400,4600,4750,4950,5100,5300,0.0441,19-Jul,29.81,2,B,Both chemical and visual
B,C,6300,6500,6650,6850,7050,7250,0.0453,19-Jul,29.81,,,
B,N,8050,8250,8400,8600,8800,9000,0.0453,19-Jul,29.81,,,
B,B,9950,10150,10375,10575,10800,11000,0.0453,19-Jul,29.81,,Times,
C,N,11950,12150,12300,12500,12675,12875,0.0122,19-Jul,29.81,,Measurement,200 sec
C,B,13650,13850,14000,14200,14375,14575,0.0122,19-Jul,29.81,,Acclimation,10 min
C,C,15300,15500,15675,15875,16050,16250,0.0122,19-Jul,29.81,,Rest,150 sec
Blank,Blank,16600,16800,17000,17200,17350,17550,NA,19-Jul,29.81,,,
,,,,,,,,,,,,Tubing length,
