Individual,Treatment,Start,End,Start,End,Start,End,Wet Weight (g),Date,Pressure
Blank,Blank,0,200,350,550,700,900,NA,43667,29.79
I,B,1600,1800,1950,2150,2300,2500,0.0316,43667,29.79
I,N,3300,3500,3650,3850,4000,4200,0.0316,43667,29.79
I,C,4875,5075,5255,5455,5605,5805,0.0316,43667,29.79
J,B,6540,6740,6890,7090,7240,7440,0.0413,43667,29.79
J,C,8130,8330,8500,8700,8925,9125,0.0413,43667,29.79
J,N,9800,10000,10175,10375,10530,10730,0.0413,43667,29.79
K,B,11400,11600,11760,11960,12110,12310,0.0516,43667,29.76
K,C,13000,13200,13350,13550,13700,13900,0.0516,43667,29.76
K,N,14565,14765,14915,15115,15265,15465,0.0516,43667,29.76
L,N,16150,16350,16500,16700,16850,17050,0.0871,43667,29.76
L,C,17700,17900,18050,18250,18400,18600,0.0871,43667,29.76
L,B,19350,19550,19700,19900,20050,20250,0.0871,43667,29.76
