Species,Individual,Treatment,Start,End,Start,End,Start,End,Wet Weight (g),Date,Pressure,Tube ID,Treatments,Description,,Species_Count,Num
Cricket,A,N,300,500,700,900,1050,1250,0.0441,19-Jul,29.81,,N,Nothing,,Cricket+Gladicosa,20
Cricket,A,C,2200,2400,2550,2750,2950,3150,0.0441,19-Jul,29.81,,C,Chemical,,Lynx+Pisaurina,1
Cricket,A,B,4400,4600,4750,4950,5100,5300,0.0441,19-Jul,29.81,,B,Both chemical and visual,,Phiddipus+Pisaurina,20
Cricket,B,C,6300,6500,6650,6850,7050,7250,0.0453,19-Jul,29.81,,,,,TRRA+Gladicosa,16
Cricket,B,N,8050,8250,8400,8600,8800,9000,0.0453,19-Jul,29.81,,,,,MEFE+Pisaurina,0
Cricket,B,B,9950,10150,10375,10575,10800,11000,0.0453,19-Jul,29.81,,Times,,,ONAS+Gladicosa,10
Cricket,C,N,11950,12150,12300,12500,12675,12875,0.0122,19-Jul,29.81,,Measurement,200 sec,,,
Cricket,C,B,13650,13850,14000,14200,14375,14575,0.0122,19-Jul,29.81,,Acclimation,10 min,,,
Cricket,C,C,15300,15500,15675,15875,16050,16250,0.0122,19-Jul,29.81,,Rest,150 sec,,,
Cricket,Blank,Blank,16600,16800,17000,17200,17350,17550,NA,19-Jul,29.81,,,,,,
Cricket,Blank,Blank,0,200,350,550,700,900,NA,20-Jul,29.81,,Volume adjustment notes,,,,
Cricket,D,N,1620,1820,1970,2170,2350,2550,0.0712,20-Jul,29.81,,24 Aug 2019,For all lynx measurements,,,
Cricket,D,C,3220,3420,3570,3770,3920,4120,0.0712,20-Jul,29.81,,,Removed O2 sensor,,,
Cricket,D,B,4770,4970,5120,5320,5540,5740,0.0712,20-Jul,29.81,,,Removed 24 inches of tubing,,,
Cricket,E,B,6500,6700,6850,7050,7200,7400,0.0658,20-Jul,29.81,,,,,,
Cricket,E,C,8100,8300,8450,8650,8800,9000,0.0658,20-Jul,29.81,,,,,,
Cricket,E,N,9650,9850,10000,10200,10350,10550,0.0658,20-Jul,29.81,,,,,,
Cricket,F,C,11400,11600,11800,12000,12150,12350,0.0688,20-Jul,29.76,,,,,,
Cricket,F,N,13000,13200,13350,13550,13700,13900,0.0688,20-Jul,29.76,,,,,,
Cricket,F,B,14600,14800,14950,15150,15300,15500,0.0688,20-Jul,29.76,,,,,,
