"Time","Q-S102 O2","Q-G265 Flow V","Q-S151 CO2","Probe Temp","Flow","AvgO2","animal #","note","animal # a","note a","iCO2","FiCO2","eCO2","FeCO2","iO2","FiO2","eO2","FeO2","Flow Rate","Assumed RQ","VCO2 (Assum.RQ)","VCO2 (from %O2)","VO2 (from %CO2)","calc. RQ"
0,3.98,1.22,457.48,23.4,210,3.984,,,,,,,,,,,,,,,,,,
1,3.98,1.22,457.52,23.4,210,3.984,,,,,,,,,,,,,,,,,,
2,3.98,1.22,457.07,23.4,210,3.984,,,,,,,,,,,,,,,,,,
3,3.99,1.22,457.07,23.4,210,3.984,,,,,,,,,,,,,,,,,,
4,3.98,1.23,457.15,23.4,211,3.984,,,,,,,,,,,,,,,,,,
5,3.98,1.22,457.04,23.4,210,3.984,,,,,,,,,,,,,,,,,,
6,3.98,1.22,457.11,23.4,209,3.984,,,,,,,,,,,,,,,,,,
7,3.98,1.22,457.07,23.4,209,3.983,,,,,,,,,,,,,,,,,,
8,3.98,1.22,457.26,23.4,210,3.983,,,,,,,,,,,,,,,,,,
9,3.98,1.22,457.33,23.4,210,3.983,,,,,,,,,,,,,,,,,,
10,3.98,1.22,457.26,23.4,211,3.983,,,,,,,,,,,,,,,,,,
11,3.98,1.22,457.19,23.4,210,3.983,,,,,,,,,,,,,,,,,,
12,3.98,1.22,457.00,23.4,210,3.983,,,,,,,,,,,,,,,,,,
13,3.98,1.22,457.00,23.4,210,3.983,,,,,,,,,,,,,,,,,,
14,3.98,1.22,457.19,23.4,210,3.984,,,,,,,,,,,,,,,,,,
15,3.98,1.22,457.22,23.4,211,3.984,,,,,,,,,,,,,,,,,,
16,3.98,1.23,457.26,23.4,211,3.984,,,,,,,,,,,,,,,,,,
17,3.98,1.23,457.37,23.4,211,3.984,,,,,,,,,,,,,,,,,,
18,3.98,1.23,457.48,23.4,211,3.984,,,,,,,,,,,,,,,,,,
19,3.98,1.23,457.81,23.4,211,3.984,,,,,,,,,,,,,,,,,,
20,3.98,1.23,458.11,23.4,211,3.984,,,,,,,,,,,,,,,,,,
21,3.98,1.22,458.44,23.4,210,3.984,,,,,,,,,,,,,,,,,,
22,3.98,1.22,459.33,23.4,211,3.984,,,,,,,,,,,,,,,,,,
23,3.98,1.23,460.00,23.4,211,3.984,,,,,,,,,,,,,,,,,,
24,3.98,1.23,461.07,23.4,211,3.984,,,,,,,,,,,,,,,,,,
25,3.98,1.23,462.19,23.4,211,3.984,,,,,,,,,,,,,,,,,,
26,3.99,1.23,463.26,23.4,212,3.984,,,,,,,,,,,,,,,,,,
27,3.98,1.23,464.48,23.4,212,3.984,,,,,,,,,,,,,,,,,,
28,3.98,1.23,465.30,23.4,211,3.984,,,,,,,,,,,,,,,,,,
29,3.98,1.23,466.04,23.4,211,3.984,,,,,,,,,,,,,,,,,,
30,3.98,1.23,466.74,23.4,211,3.984,,,,,,,,,,,,,,,,,,
31,3.98,1.22,467.00,23.4,210,3.984,,,,,,,,,,,,,,,,,,
32,3.98,1.22,466.93,23.4,210,3.984,,,,,,,,,,,,,,,,,,
33,3.99,1.22,466.70,23.4,210,3.985,,,,,,,,,,,,,,,,,,
34,3.99,1.22,466.22,23.4,211,3.985,,,,,,,,,,,,,,,,,,
35,3.99,1.22,465.37,23.4,210,3.985,,,,,,,,,,,,,,,,,,
36,3.99,1.22,464.70,23.4,209,3.986,,,,,,,,,,,,,,,,,,
37,3.99,1.22,463.89,23.4,209,3.986,,,,,,,,,,,,,,,,,,
38,3.99,1.22,462.78,23.4,209,3.986,,,,,,,,,,,,,,,,,,
39,3.99,1.22,461.78,23.4,209,3.986,,,,,,,,,,,,,,,,,,
40,3.99,1.22,460.59,23.4,209,3.986,,,,,,,,,,,,,,,,,,
41,3.99,1.22,459.70,23.4,209,3.986,,,,,,,,,,,,,,,,,,
42,3.99,1.22,458.67,23.4,209,3.986,,,,,,,,,,,,,,,,,,
43,3.99,1.22,457.89,23.4,210,3.987,,,,,,,,,,,,,,,,,,
44,3.99,1.22,457.19,23.4,210,3.987,,,,,,,,,,,,,,,,,,
45,3.99,1.23,456.07,23.4,211,3.987,,,,,,,,,,,,,,,,,,
46,3.99,1.23,455.33,23.4,211,3.987,,,,,,,,,,,,,,,,,,
47,3.99,1.23,454.59,23.4,211,3.988,,,,,,,,,,,,,,,,,,
48,3.99,1.23,453.78,23.4,211,3.988,,,,,,,,,,,,,,,,,,
49,3.99,1.23,453.19,23.4,211,3.988,,,,,,,,,,,,,,,,,,
50,3.99,1.23,452.82,23.4,211,3.988,,,,,,,,,,,,,,,,,,
51,3.99,1.23,452.48,23.4,212,3.988,,,,,,,,,,,,,,,,,,
52,3.99,1.23,452.11,23.4,211,3.989,,,,,,,,,,,,,,,,,,
53,3.99,1.22,451.85,23.4,211,3.989,,,,,,,,,,,,,,,,,,
54,3.99,1.22,451.19,23.4,211,3.990,,,,,,,,,,,,,,,,,,
55,3.99,1.23,451.04,23.4,211,3.990,,,,,,,,,,,,,,,,,,
56,3.99,1.23,450.30,23.4,211,3.991,,,,,,,,,,,,,,,,,,
57,3.99,1.23,450.07,23.4,211,3.991,,,,,,,,,,,,,,,,,,
58,3.99,1.23,449.93,23.4,211,3.991,,,,,,,,,,,,,,,,,,
59,3.99,1.23,449.82,23.4,211,3.990,,,,,,,,,,,,,,,,,,
60,3.99,1.23,449.70,23.4,211,3.990,,,,,,,,,,,,,,,,,,
61,3.99,1.23,449.56,23.4,211,3.990,,,,,,,,,,,,,,,,,,
62,3.99,1.23,449.45,23.4,211,3.990,,,,,,,,,,,,,,,,,,
63,3.99,1.23,449.93,23.4,211,3.990,,,,,,,,,,,,,,,,,,
64,3.99,1.23,449.96,23.4,211,3.990,,,,,,,,,,,,,,,,,,
65,3.99,1.23,450.04,23.4,211,3.990,,,,,,,,,,,,,,,,,,
66,3.99,1.23,450.00,23.4,211,3.990,,,,,,,,,,,,,,,,,,
67,3.99,1.23,450.15,23.4,212,3.990,,,,,,,,,,,,,,,,,,
68,3.99,1.23,450.11,23.4,211,3.990,,,,,,,,,,,,,,,,,,
69,3.99,1.23,450.30,23.4,211,3.990,,,,,,,,,,,,,,,,,,
70,3.99,1.23,450.48,23.4,211,3.990,,,,,,,,,,,,,,,,,,
71,3.99,1.23,450.52,23.4,211,3.990,,,,,,,,,,,,,,,,,,
72,3.99,1.23,450.45,23.4,212,3.990,,,,,,,,,,,,,,,,,,
73,3.99,1.23,450.41,23.4,211,3.990,,,,,,,,,,,,,,,,,,
74,3.99,1.23,450.19,23.4,211,3.990,,,,,,,,,,,,,,,,,,
75,3.99,1.23,450.22,23.4,211,3.990,,,,,,,,,,,,,,,,,,
76,3.99,1.23,450.15,23.4,212,3.990,,,,,,,,,,,,,,,,,,
77,3.99,1.23,450.19,23.4,212,3.989,,,,,,,,,,,,,,,,,,
78,3.99,1.23,450.04,23.4,212,3.989,,,,,,,,,,,,,,,,,,
79,3.99,1.23,449.85,23.4,211,3.989,,,,,,,,,,,,,,,,,,
80,3.99,1.22,449.74,23.4,210,3.988,,,,,,,,,,,,,,,,,,
81,3.99,1.22,449.74,23.4,210,3.988,,,,,,,,,,,,,,,,,,
82,3.99,1.22,449.67,23.4,210,3.988,,,,,,,,,,,,,,,,,,
83,3.99,1.22,449.63,23.4,211,3.988,,,,,,,,,,,,,,,,,,
84,3.99,1.22,449.37,23.4,211,3.988,,,,,,,,,,,,,,,,,,
85,3.99,1.22,449.00,23.4,210,3.988,,,,,,,,,,,,,,,,,,
86,3.99,1.22,449.07,23.4,211,3.989,,,,,,,,,,,,,,,,,,
87,3.99,1.22,448.85,23.4,211,3.989,,,,,,,,,,,,,,,,,,
88,3.99,1.22,448.78,23.4,210,3.989,,,,,,,,,,,,,,,,,,
89,3.99,1.22,448.93,23.4,210,3.989,,,,,,,,,,,,,,,,,,
90,3.99,1.22,449.00,23.4,211,3.989,,,,,,,,,,,,,,,,,,
91,3.99,1.23,449.07,23.3,211,3.989,,,,,,,,,,,,,,,,,,
92,3.99,1.23,449.37,23.4,211,3.989,,,,,,,,,,,,,,,,,,
93,3.99,1.22,449.56,23.4,211,3.989,,,,,,,,,,,,,,,,,,
94,3.99,1.23,449.93,23.3,212,3.989,,,,,,,,,,,,,,,,,,
95,3.99,1.23,450.45,23.3,212,3.989,,,,,,,,,,,,,,,,,,
96,3.99,1.23,450.96,23.3,213,3.989,,,,,,,,,,,,,,,,,,
97,3.99,1.23,451.26,23.3,213,3.988,,,,,,,,,,,,,,,,,,
