"","X","CH","Phase","Slope","R2","RMSE.lm","RMSE.lo","Mass.g","Temp.C","sec","CHvol.mL","Tubevol.mL","Resp.DOY","Type","O2.mg_h","PreSec","PostSec","MO2.Cor","corO2.mg_h","MO2","Ex"
"1",1,1,"M1",-0.000207865477431367,0.887768058982993,0.00851278676640806,0.00712784192400799,0.2707,18.2109273182957,44711,16.128,1.011,192,"SMR",0.0126228140386399,38263,68935,-1.32569558315978e-07,0.0134776225506613,0.0497880404531264,"DF"
"2",2,1,"M2",-0.000223541281446275,0.874967783208628,0.00973315364926177,0.00665175661677116,0.2707,18.2656140350877,45941,16.128,1.011,192,"SMR",0.0135747410321527,38263,68935,-1.32569558315978e-07,0.0145926101009028,0.0539069453302653,"DF"
"3",3,1,"M3",-0.000207021035481792,0.914113967498899,0.00730897511486659,0.00665889828944597,0.2707,18.3167669172932,47171,16.128,1.011,192,"SMR",0.012571534558143,38263,68935,-1.32569558315978e-07,0.0137524641836217,0.0508033401685325,"DF"
"4",4,1,"M4",-0.000219210414693621,0.930910465173818,0.00687850837397719,0.00604787103966998,0.2707,18.374962406015,48401,16.128,1.011,192,"SMR",0.0133117453374351,38263,68935,-1.32569558315978e-07,0.0146557355196425,0.0541401386022994,"DF"
"5",5,1,"M5",-0.000173803472043436,0.768166513379125,0.0109976464648103,0.0075070950507465,0.2707,18.4171428571429,49631,16.128,1.011,192,"SMR",0.010554368786893,38263,68935,-1.32569558315978e-07,0.0120614195258291,0.0445564075575511,"DF"
"6",6,1,"M6",-0.000186725190029743,0.890687139491552,0.00753454198922577,0.0071953688337646,0.2707,18.4567669172932,50861,16.128,1.011,192,"SMR",0.0113390514827234,38263,68935,-1.32569558315978e-07,0.0130091627783881,0.0480574908695533,"DF"
"7",7,1,"M7",-0.000169893214511414,0.862949059032108,0.00779839759134609,0.00675604168855991,0.2707,18.4972932330827,52091,16.128,1.011,192,"SMR",0.0103169149572344,38263,68935,-1.32569558315978e-07,0.0121500868096278,0.0448839557060501,"DF"
"8",8,1,"M8",-8.79670367766358e-05,0.613637495050907,0.00803974758251964,0.00712221393296458,0.2707,18.5365914786967,53321,16.128,1.011,192,"SMR",0.00534187571925358,38263,68935,-1.32569558315978e-07,0.00733810812837558,0.0271078985163486,"DF"
"9",9,2,"M1",-0.000341938858710382,0.981057603961294,0.00547267387406375,0.00492036337591434,0.289,18.2109273182957,44711,16.128,0.812,192,"SMR",0.0204970461709916,38263,68935,-1.18955505249962e-08,0.0205737486807768,0.0711894418019958,"DF"
"10",10,2,"M2",-0.00028341686692358,0.97770596242568,0.00492943147704409,0.004375559453417,0.289,18.2656140350877,45941,16.128,0.812,192,"SMR",0.0169890273041203,38263,68935,-1.18955505249962e-08,0.0170803613410512,0.0591015963358174,"DF"
